task,variant,label,method,budget,prefix_coverage_ratio,top1,top5,strict_prefix,mean_nll,first_mismatch,candidate_terminal_saved_ratio,reference_terminal_saved_ratio,prefix_events,decode_events,stage_profile,report_path
qasper,tri_384,TriAttention @ 384,triattention,384,,0.671875,0.90625,0.015625,1.3659383347257972,2.0,0.8785714285714286,0.8785714285714286,,,eviction_only_baseline,C:\Users\Skyline23\Downloads\triattention\experiments\reports\qasper_teacher_forced_fidelity_vs_fullkv_tri384.json
qasper,tri_512,TriAttention @ 512,triattention,512,,0.65625,0.90625,0.015625,1.3838930763304234,2.0,0.8480952380952381,0.8480952380952381,,,eviction_only_baseline,C:\Users\Skyline23\Downloads\triattention\experiments\reports\qasper_teacher_forced_fidelity_vs_fullkv_tri512.json
qasper,cask_384,CASK @ 384,cask,384,,0.765625,0.953125,0.046875,1.0135470433160663,6.0,0.0,0.8785714285714286,1,0,prefix_only_active,C:\Users\Skyline23\Downloads\triattention\experiments\reports\qasper_teacher_forced_fidelity_vs_fullkv_cask384.json
qasper,cask_384_cov,CASK @ 384 (coverage 0.0625),cask,384,0.0625,0.765625,0.9453125,0.046875,0.9853332368656993,6.0,0.0,0.8785714285714286,1,0,prefix_only_active,C:\Users\Skyline23\Downloads\triattention\experiments\reports\qasper_teacher_forced_fidelity_vs_fullkv_cask384_cov.json
qasper,cask_256,CASK @ 256,cask,256,,0.6953125,0.953125,0.03125,1.2583243669942021,4.0,0.0,0.909047619047619,1,0,prefix_only_active,C:\Users\Skyline23\Downloads\triattention\experiments\reports\qasper_teacher_forced_fidelity_vs_fullkv_cask256.json
2wikimqa,tri_512,TriAttention @ 512,triattention,512,,0.59375,0.6875,0.0625,3.5009706392884254,2.0,0.9268654702469302,0.9268654702469302,,,eviction_only_baseline,C:\Users\Skyline23\Downloads\triattention\experiments\reports\2wikimqa_teacher_forced_fidelity_vs_fullkv_tri512.json
2wikimqa,cask_384,CASK @ 384,cask,384,,0.53125,0.84375,0.0625,2.5321791283786297,2.0,0.0,0.9441370935096478,1,0,prefix_only_active,C:\Users\Skyline23\Downloads\triattention\experiments\reports\2wikimqa_teacher_forced_fidelity_vs_fullkv_cask384.json
2wikimqa,cask_384_cov,CASK @ 384 (coverage 0.0625),cask,384,0.0625,0.5625,0.84375,0.0625,2.4322615414857864,2.0,0.0,0.9441370935096478,1,0,prefix_only_active,C:\Users\Skyline23\Downloads\triattention\experiments\reports\2wikimqa_teacher_forced_fidelity_vs_fullkv_cask384_cov.json
2wikimqa,cask_384_cov0125,CASK @ 384 (coverage 0.125),cask,384,0.125,0.5625,0.84375,0.0625,2.5400295928120613,2.0,0.0,0.9441370935096478,1,0,prefix_only_active,C:\Users\Skyline23\Downloads\triattention\experiments\reports\2wikimqa_teacher_forced_fidelity_vs_fullkv_cask384_cov0125.json
