task,variant,method,bridge_type,stage_mode,budget,records_compared,sequence_ratio,prefix_token_ratio,prefix_char_ratio,output_token_ratio,semantic_similarity,final_answer_match_rate,exact_output_match_rate,normalized_output_match_rate,task_metric,compression_events,terminal_saved_ratio,terminal_cache_ratio,cumulative_saved_tokens,source_json,source_eval_json
multi_news,CASK @ 384 (full two-stage),,,two_stage,384,1,0.1687041564792176,0.0810126582278481,0.0771770532397854,1.0,0.9517336487770081,0.0,0.0,0.0,15.16,3.0,0.8407245471580262,0.15927545284197375,375.0,C:\Users\AIUSER\Downloads\CASK\experiments\frontier\Qwen3-8B\h100_actual_bridge_metrics_20260411\multi_news_cask384.json,C:\Users\AIUSER\Downloads\CASK\experiments\longbench_h100_actual_bridge_20260411\multi_news_cask384\longbench\Qwen3-8B\longbench_eval.json
multi_news,CASK @ 384 (stage 1 only),,,stage1_only,384,1,0.1687344913151365,0.0810126582278481,0.0771770532397854,1.0,0.9393426775932312,0.0,0.0,0.0,16.25,3.0,0.8407245471580262,0.15927545284197375,0.0,C:\Users\AIUSER\Downloads\CASK\experiments\frontier\Qwen3-8B\h100_actual_bridge_metrics_20260411\multi_news_cask384_stage1only.json,C:\Users\AIUSER\Downloads\CASK\experiments\longbench_h100_stage_ablation\longbench\Qwen3-8B\longbench_eval.json
